Scheme Code,Scheme Name,Scheme Category,Classification,Main Category,Sub Category,Flag,Commission
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
